87.106.83.18 - - [21/Jul/2014:20:02:01 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&q=pain&spellcheck.q=pain&facet=true&start=0 HTTP/1.1" 200 52215
87.106.83.18 - - [21/Jul/2014:20:03:06 +0100] "GET /solr/collection1/select?wt=ruby&qt=document&fl=%2A&q=%7B%21raw+f%3Did+v%3D%24id%7D&id=http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F HTTP/1.1" 200 7775
87.106.83.18 - - [21/Jul/2014:20:03:06 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=2&q=pain&spellcheck.q=pain&facet=false&start=0&fl=%2A HTTP/1.1" 200 17542
87.106.83.18 - - [21/Jul/2014:20:03:14 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&facet=true HTTP/1.1" 200 1485
87.106.83.18 - - [21/Jul/2014:20:03:14 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&facet=true HTTP/1.1" 200 1485
87.106.83.18 - - [21/Jul/2014:20:03:30 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&fq=%7B%21raw+f%3Dmetatag.keywords+tag%3Dmetatag.keywords_single%7Dpain&qt=search&rows=10&q=fibro&spellcheck.q=fibro&facet=true HTTP/1.1" 200 75824
87.106.83.18 - - [21/Jul/2014:20:04:24 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&fq=%7B%21raw+f%3Dmetatag.keywords+tag%3Dmetatag.keywords_single%7Dpain&qt=search&rows=10&q=fibro&spellcheck.q=fibro&facet=true HTTP/1.1" 200 75824
87.106.83.18 - - [21/Jul/2014:20:06:13 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&fq=%7B%21raw+f%3Dmetatag.keywords+tag%3Dmetatag.keywords_single%7Dpain&qt=search&rows=10&q=fibro&spellcheck.q=fibro&facet=true HTTP/1.1" 200 75824
87.106.83.18 - - [21/Jul/2014:20:06:27 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&facet=false&defType=lucene&q=url%3A%28%22http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2F%22+OR+%22http%3A%2F%2Fwww.themicrocurrentsite.co.uk%2F%22%29&fl=%2A&spellcheck=false HTTP/1.1" 200 66993
87.106.83.18 - - [21/Jul/2014:20:06:34 +0100] "GET /solr/collection1/select?wt=ruby&facet.field=%7B%21ex%3Dmetatag.keywords_single%7Dmetatag.keywords&qt=search&rows=10&facet=false&defType=lucene&q=url%3A%28%22http%3A%2F%2Fwww.nhs.uk%2FConditions%2FFibromyalgia%2FPages%2FIntroduction.aspx%2F%22+OR+%22http%3A%2F%2Fwww.themicrocurrentsite.co.uk%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2F%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%2Fhelplines%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fcontactsmenu%2Fsupportgroups%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fforums%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fhome-mainmenu-1%2Fwhatcanyoudo%2Fdonate-2%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Flogin%22+OR+%22http%3A%2F%2Fwww.fmauk.org%2Fshop%22%29&fl=%2A&spellcheck=false HTTP/1.1" 200 67295
